epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,168.893,1.85047,2.97394,1.35161,0.05809,0.42888,0.22426,0.11092,1.63344,2.9567,1.187,0.000327869,0.000327869,0.000327869
2,326.56,1.75176,1.86426,1.29905,0.4653,0.36902,0.36423,0.19029,1.59833,1.68348,1.15327,0.000628473,0.000628473,0.000628473
3,480.454,1.65976,1.58555,1.25185,0.46685,0.45127,0.40905,0.22209,1.55191,1.45539,1.12572,0.000896077,0.000896077,0.000896077
4,634.183,1.63284,1.52857,1.24354,0.48717,0.435,0.41591,0.22079,1.54831,1.49465,1.15288,0.0008515,0.0008515,0.0008515
5,785.333,1.57928,1.45342,1.22895,0.56158,0.44463,0.47924,0.26022,1.53592,1.43451,1.10767,0.000802,0.000802,0.000802
6,937.827,1.55152,1.39885,1.21182,0.5887,0.4519,0.49282,0.26179,1.48517,1.2487,1.12191,0.0007525,0.0007525,0.0007525
7,1093.2,1.52887,1.36325,1.20564,0.53627,0.49772,0.4943,0.2576,1.48361,1.25616,1.10812,0.000703,0.000703,0.000703
8,1247.91,1.49873,1.289,1.17384,0.61197,0.5026,0.53476,0.29529,1.49888,1.22009,1.11387,0.0006535,0.0006535,0.0006535
9,1402.72,1.47519,1.28392,1.18338,0.64529,0.47792,0.53707,0.29186,1.47658,1.24546,1.10748,0.000604,0.000604,0.000604
10,1555.65,1.46658,1.26607,1.16439,0.63343,0.50249,0.53756,0.29262,1.44553,1.17821,1.10047,0.0005545,0.0005545,0.0005545
11,1703.46,1.43837,1.3025,1.15999,0.62841,0.51755,0.54266,0.29723,1.43658,1.19036,1.09517,0.000505,0.000505,0.000505
12,1844.61,1.40004,1.1987,1.1397,0.62299,0.50952,0.54193,0.29775,1.45551,1.16983,1.09762,0.0004555,0.0004555,0.0004555
13,1984.2,1.39447,1.18121,1.13684,0.62692,0.54556,0.5777,0.32306,1.43694,1.11155,1.09211,0.000406,0.000406,0.000406
14,2123.3,1.3782,1.16024,1.13194,0.64235,0.53926,0.57779,0.32155,1.46517,1.12181,1.10337,0.0003565,0.0003565,0.0003565
15,2261.19,1.3705,1.12692,1.12572,0.65961,0.51657,0.57481,0.32036,1.42261,1.08518,1.09481,0.000307,0.000307,0.000307
16,2402.66,1.33875,1.10401,1.11363,0.67047,0.53158,0.59028,0.32479,1.39893,1.04998,1.08102,0.0002575,0.0002575,0.0002575
17,2544.13,1.33075,1.08413,1.10525,0.62772,0.55062,0.5908,0.32723,1.40061,1.04693,1.07999,0.000208,0.000208,0.000208
18,2683.98,1.31151,1.07034,1.09992,0.65294,0.56039,0.59174,0.33019,1.39764,1.02947,1.08409,0.0001585,0.0001585,0.0001585
19,2824.85,1.29707,1.04482,1.09489,0.67853,0.56371,0.60892,0.33758,1.40434,1.0171,1.08172,0.000109,0.000109,0.000109
20,2962.64,1.28513,1.03573,1.08404,0.65462,0.55595,0.60653,0.33599,1.40784,1.02741,1.08525,5.95e-05,5.95e-05,5.95e-05
